t,dr,cr,cr2a,cr2b,pv,fdr,fcr,T,Vpz1,Vpz2,Vpzbg,Vadcbg
1502799564.485855, 0.029, 0.812, 1.550, 1.534, 104, 0.029, 0.812, 0.000, 0.75087890625, 0.0580078125, 0.02900390625, 0.02900390625 
1502799564.587149, 0.935, 0.802, 1.560, 1.553, 128, 0.935, 0.802, 0.000, 0.75732421875, 0.05478515625, 0.05478515625, 0.0580078125 
1502799564.688363, 0.106, 0.780, 1.502, 1.502, 62, 0.106, 0.780, 0.000, 0.74765625, 0.0515625, 0.012890625, 0.012890625 
1502799564.789621, 0.715, 0.754, 1.476, 1.470, 31, 0.715, 0.754, 0.000, 0.73798828125, 0.02578125, 0.00322265625, 0.0064453125 
1502799564.890822, 0.203, 0.822, 1.582, 1.563, 106, 0.203, 0.822, 0.000, 0.79921875, 0.0515625, 0.0322265625, 0.02900390625 
1502799564.992069, 0.003, 0.754, 1.476, 1.473, 0, 0.003, 0.754, 0.000, 0.75087890625, 0.0064453125, 0.0, 0.0 
1502799565.098463, 0.097, 0.754, 1.470, 1.457, 8, 0.097, 0.754, 0.000, 0.73798828125, 0.02578125, 0.0064453125, 0.012890625 
1502799565.200575, 0.764, 0.754, 1.476, 1.473, 8, 0.764, 0.754, 0.000, 0.75087890625, 0.0064453125, 0.00322265625, 0.00322265625 
1502799565.302289, 0.026, 0.754, 1.476, 1.457, 8, 0.026, 0.754, 0.000, 0.7541015625, 0.0064453125, 0.0064453125, 0.00322265625 
1502799565.403607, 0.654, 0.780, 1.502, 1.508, 8, 0.654, 0.780, 0.000, 0.7541015625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799565.504899, 0.026, 0.777, 1.508, 1.492, 8, 0.026, 0.777, 0.000, 0.75087890625, 0.00322265625, 0.0064453125, 0.00322265625 
1502799565.606141, 0.770, 0.786, 1.544, 1.502, 8, 0.770, 0.786, 0.000, 0.75732421875, 0.0064453125, 0.0064453125, 0.0064453125 
1502799565.707788, 0.013, 0.780, 1.502, 1.492, 8, 0.013, 0.780, 0.000, 0.74765625, 0.0, 0.0, 0.0 
1502799565.809383, 0.058, 0.780, 1.518, 1.476, 8, 0.058, 0.780, 0.000, 0.75087890625, 0.00322265625, 0.00322265625, 0.0064453125 
1502799565.910841, 0.026, 0.786, 1.534, 1.508, 8, 0.026, 0.786, 0.000, 0.75087890625, 0.00322265625, 0.0, 0.0 
1502799566.012180, 0.000, 0.799, 1.560, 1.511, 8, 0.000, 0.799, 0.000, 0.7541015625, 0.00322265625, 0.00322265625, 0.0064453125 
1502799566.113471, 0.042, 0.777, 1.508, 1.492, 8, 0.042, 0.777, 0.000, 0.74765625, 0.0, 0.0, 0.0 
1502799566.214751, 0.632, 0.777, 1.502, 1.502, 8, 0.632, 0.777, 0.000, 0.734765625, 0.00322265625, 0.00322265625, 0.00322265625 
1502799566.316009, 0.667, 0.780, 1.534, 1.508, 8, 0.667, 0.780, 0.000, 0.73798828125, 0.00322265625, 0.00322265625, 0.0064453125 
1502799566.417245, 0.171, 0.799, 1.508, 1.534, 8, 0.171, 0.799, 0.000, 0.74765625, 0.00322265625, 0.00322265625, 0.00322265625 
1502799566.519093, 0.622, 0.780, 1.502, 1.476, 8, 0.622, 0.780, 0.000, 0.734765625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799566.621225, 0.093, 0.786, 1.540, 1.540, 8, 0.093, 0.786, 0.000, 0.73798828125, 0.0064453125, 0.0064453125, 0.0064453125 
1502799566.723160, 0.116, 0.822, 1.605, 1.576, 71, 0.116, 0.822, 0.000, 0.77021484375, 0.0515625, 0.01611328125, 0.02578125 
1502799566.825342, 0.068, 0.799, 1.560, 1.553, 75, 0.068, 0.799, 0.000, 0.7669921875, 0.04189453125, 0.012890625, 0.01611328125 
1502799566.927225, 0.026, 0.767, 1.492, 1.473, 26, 0.026, 0.767, 0.000, 0.734765625, 0.012890625, 0.0, 0.0 
1502799567.029058, 0.719, 0.770, 1.476, 1.473, 12, 0.719, 0.770, 0.000, 0.7283203125, 0.00322265625, 0.0, 0.0 
1502799567.130789, 0.625, 0.770, 1.473, 1.502, 0, 0.625, 0.770, 0.000, 0.734765625, 0.0, 0.0, 0.0 
1502799567.232693, 0.013, 0.838, 1.624, 1.605, 77, 0.013, 0.838, 0.000, 0.77666015625, 0.0322265625, 0.012890625, 0.012890625 
1502799567.334452, 0.139, 0.786, 1.518, 1.502, 63, 0.139, 0.786, 0.000, 0.75087890625, 0.02900390625, 0.012890625, 0.012890625 
1502799567.436168, 0.802, 0.754, 1.470, 1.476, 27, 0.802, 0.754, 0.000, 0.7283203125, 0.012890625, 0.0, 0.00322265625 
1502799567.537869, 0.686, 0.812, 1.560, 1.560, 98, 0.686, 0.812, 0.000, 0.7798828125, 0.0708984375, 0.0451171875, 0.04833984375 
1502799567.639732, 0.738, 0.851, 1.553, 1.547, 8, 0.738, 0.851, 0.000, 0.7798828125, 0.0580078125, 0.05478515625, 0.0515625 
1502799567.749146, 0.200, 0.754, 1.492, 1.457, 8, 0.200, 0.754, 0.000, 0.75087890625, 0.00322265625, 0.0, 0.0 
1502799567.851180, 0.068, 0.754, 1.476, 1.457, 8, 0.068, 0.754, 0.000, 0.73798828125, 0.0064453125, 0.0, 0.0 
1502799567.952485, 0.767, 0.754, 1.476, 1.028, 8, 0.767, 0.754, 0.000, 0.73798828125, 0.00322265625, 0.0, 0.0 
1502799568.053762, 0.738, 0.777, 1.492, 1.473, 8, 0.738, 0.777, 0.000, 0.73798828125, 0.0064453125, 0.00322265625, 0.00322265625 
1502799568.155317, 0.677, 0.780, 1.547, 1.508, 8, 0.677, 0.780, 0.000, 0.7541015625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799568.256607, 0.032, 0.777, 1.492, 1.502, 8, 0.032, 0.777, 0.000, 0.75087890625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799568.357801, 0.648, 0.780, 1.508, 1.492, 8, 0.648, 0.780, 0.000, 0.75087890625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799568.459132, 0.625, 0.790, 1.518, 1.534, 8, 0.625, 0.790, 0.000, 0.7541015625, 0.0064453125, 0.0064453125, 0.0064453125 
1502799568.560368, 0.651, 0.799, 1.534, 1.534, 8, 0.651, 0.799, 0.000, 0.75087890625, 0.00322265625, 0.0, 0.00322265625 
1502799568.661583, 0.103, 0.780, 1.511, 1.502, 8, 0.103, 0.780, 0.000, 0.73798828125, 0.0, 0.0, 0.0 
1502799568.762837, 0.699, 0.790, 1.540, 1.511, 8, 0.699, 0.790, 0.000, 0.75087890625, 0.0064453125, 0.0, 0.0 
1502799568.864092, 0.042, 0.780, 1.502, 1.492, 8, 0.042, 0.780, 0.000, 0.73798828125, 0.0, 0.0, 0.0 
1502799568.966554, 0.715, 0.799, 1.534, 1.518, 8, 0.715, 0.799, 0.000, 0.75087890625, 0.00322265625, 0.00322265625, 0.0064453125 
1502799569.068177, 0.135, 0.780, 1.502, 1.492, 8, 0.135, 0.780, 0.000, 0.734765625, 0.0, 0.0, 0.0 
1502799569.169545, 0.132, 0.790, 1.534, 1.534, 8, 0.132, 0.790, 0.000, 0.73798828125, 0.0064453125, 0.00322265625, 0.00322265625 
1502799569.270881, 0.719, 0.777, 1.502, 1.492, 8, 0.719, 0.777, 0.000, 0.7283203125, 0.00322265625, 0.0064453125, 0.0064453125 
1502799569.372290, 0.068, 0.780, 1.511, 1.511, 8, 0.068, 0.780, 0.000, 0.734765625, 0.00322265625, 0.00322265625, 0.00322265625 
1502799569.473604, 0.074, 0.799, 1.544, 1.534, 8, 0.074, 0.799, 0.000, 0.734765625, 0.0064453125, 0.0064453125, 0.01611328125 
1502799569.577976, 0.200, 0.780, 1.508, 1.502, 8, 0.200, 0.780, 0.000, 0.7283203125, 0.0, 0.00322265625, 0.00322265625 
1502799569.679512, 0.100, 0.780, 1.534, 1.502, 8, 0.100, 0.780, 0.000, 0.734765625, 0.0, 0.0, 0.0 
1502799569.780847, 0.802, 0.780, 1.508, 1.492, 8, 0.802, 0.780, 0.000, 0.7283203125, 0.00322265625, 0.00322265625, 0.0064453125 
1502799569.882094, 0.013, 0.780, 1.492, 1.479, 8, 0.013, 0.780, 0.000, 0.734765625, 0.0, 0.0, 0.0 
1502799569.983516, 0.686, 0.802, 1.547, 1.508, 20, 0.686, 0.802, 0.000, 0.734765625, 0.0064453125, 0.00322265625, 0.00322265625 
1502799570.087051, 0.719, 0.799, 1.547, 1.540, 36, 0.719, 0.799, 0.000, 0.73798828125, 0.0322265625, 0.0064453125, 0.0064453125 
1502799570.188579, 0.081, 0.802, 1.560, 1.534, 29, 0.081, 0.802, 0.000, 0.72509765625, 0.03544921875, 0.012890625, 0.01611328125 
1502799570.289849, 0.045, 0.857, 1.647, 1.637, 104, 0.045, 0.857, 0.000, 0.77021484375, 0.064453125, 0.02900390625, 0.02900390625 
